// MUSIC_NAME: 送别
// AUTHOR: NONE
// USABLE: 小提琴

// ===================================================

5, 1000
3, 400
5, 600
h1, 1000
7, 1000

-, 40
// -------------


6, 1000
h1, 1000
5, 1750

-, 40
// -------------



5, 1000
2, 400
3, 600
4, 1000
l7, 1000

-, 40
// -------------


1, 2400

-, 200
// -------------


5, 1000
3, 400
5, 600
h1, 1750

-, 40
// -------------


6, 1000
h1, 1000
5, 1750

-, 40
// -------------


5, 1000
1, 400
2, 600
3, 1000
2, 400
1, 600

-, 40
// -------------


2, 2400

-, 200
// -------------


5, 1000
3, 400
5, 600
h1, 1000
7, 1000

-, 40
// -------------


6, 1000
h1, 1000
5, 1750

-, 40
// -------------


5, 1000
2, 400
3, 600
4, 1000
l7, 1000

-, 40
// -------------

1, 2400

-, 200
// -------------


6, 1000
h1, 1000
h1, 1750

-, 40
// -------------


7, 1000
6, 400
7, 600
h1, 1750

-, 40
// -------------

6, 400
7, 600
h1, 400
6, 600
6, 400
6, 600
3, 400
1, 600

-, 40
// -------------

2, 2400

-, 200
// -------------

5, 1000
3, 400
5, 600
h1, 1000
7, 1000

-, 40
// -------------

6, 1000
h1, 1000
5, 1750

-, 40
// -------------

5, 1000
2, 400
3, 600
4, 1000
l7, 1000

-, 40
// -------------



1, 2400
